date,currency_code,name,local_price,dollar_ex,dollar_price
2000-04-01,ARS,Argentina,2.5,1.0,2.5
2000-04-01,AUD,Australia,2.59,1.68,15.416.666.666.666.600
2000-04-01,BRL,Brazil,2.95,1.79,164.804.469.273.743
2000-04-01,CAD,Canada,2.85,1.47,193.877.551.020.408
2000-04-01,CHF,Switzerland,5.9,1.7,34.705.882.352.941.200
2000-04-01,CLP,Chile,1260.0,514.0,245.136.186.770.428
2000-04-01,CNY,China,9.9,8.28,119.565.217.391.304
2000-04-01,CZK,Czech Republic,54.37,39.1,139.053.708.439.898
2000-04-01,DKK,Denmark,24.75,08.04,307.835.820.895.522
2000-04-01,EUR,Euro area,2.56,1.075.268.817,238.080.000.045.235
2000-04-01,GBP,Britain,1.9,632.911.392,30.020.000.019.212.800
2000-04-01,HKD,Hong Kong,10.2,7.79,130.937.098.844.673
2000-04-01,HUF,Hungary,339.0,279.0,121.505.376.344.086
2000-04-01,IDR,Indonesia,14500.0,7945.0,182.504.719.949.654
2000-04-01,ILS,Israel,14.5,04.05,358.024.691.358.025
2000-04-01,JPY,Japan,294.0,106.0,277.358.490.566.038
2000-04-01,KRW,South Korea,3000.0,1108.0,270.758.122.743.682
2000-04-01,MXN,Mexico,20.9,9.41,22.210.414.452.709.900
2000-04-01,MYR,Malaysia,4.52,3.8,118.947.368.421.053
2000-04-01,NZD,New Zealand,3.4,02.01,169.154.228.855.721
2000-04-01,PLN,Poland,5.5,4.3,127.906.976.744.186
2000-04-01,RUB,Russia,39.5,28.5,13.859.649.122.806.900
2000-04-01,SGD,Singapore,3.2,1.7,188.235.294.117.647
2000-04-01,SEK,Sweden,24.0,8.84,27.149.321.266.968.200
2000-04-01,THB,Thailand,55.0,38.0,14.473.684.210.526.200
2000-04-01,TWD,Taiwan,70.0,30.6,228.758.169.934.641
2000-04-01,USD,United States,2.51,1.0,2.51
2000-04-01,ZAR,South Africa,9.0,6.72,133.928.571.428.571
2001-04-01,ARS,Argentina,2.5,1.0,2.5
2001-04-01,AUD,Australia,3.0,1.98,151.515.151.515.152
2001-04-01,BRL,Brazil,3.6,2.19,16.438.356.164.383.600
2001-04-01,CAD,Canada,3.33,1.56,21.346.153.846.153.700
2001-04-01,CHF,Switzerland,6.3,1.73,364.161.849.710.983
2001-04-01,CLP,Chile,1260.0,601.0,209.650.582.362.729
2001-04-01,CNY,China,9.9,8.28,119.565.217.391.304
2001-04-01,CZK,Czech Republic,56.0,39.0,14.358.974.358.974.400
2001-04-01,DKK,Denmark,24.75,8.46,292.553.191.489.362
2001-04-01,EUR,Euro area,2.57,1.136.363.636,226.160.000.072.371
2001-04-01,GBP,Britain,1.99,699.300.699,284.570.000.122.365
2001-04-01,HKD,Hong Kong,10.7,7.8,13.717.948.717.948.700
2001-04-01,HUF,Hungary,399.0,303.0,131.683.168.316.832
2001-04-01,IDR,Indonesia,14700.0,10855.0,135.421.464.762.782
2001-04-01,JPY,Japan,294.0,124.0,237.096.774.193.548
2001-04-01,KRW,South Korea,3000.0,1325.0,226.415.094.339.623
2001-04-01,MXN,Mexico,21.9,9.29,235.737.351.991.389
2001-04-01,MYR,Malaysia,4.52,3.8,118.947.368.421.053
2001-04-01,NZD,New Zealand,3.6,2.47,14.574.898.785.425.000
2001-04-01,PHP,Philippines,59.0,50.3,117.296.222.664.016
2001-04-01,PLN,Poland,5.9,04.03,14.640.198.511.166.200
2001-04-01,RUB,Russia,35.0,28.9,12.110.726.643.598.600
2001-04-01,SGD,Singapore,3.3,1.81,18.232.044.198.895
2001-04-01,SEK,Sweden,24.0,10.28,233.463.035.019.455
2001-04-01,THB,Thailand,55.0,45.5,12.087.912.087.912.000
2001-04-01,TWD,Taiwan,70.0,32.9,21.276.595.744.680.900
2001-04-01,USD,United States,2.54,1.0,2.54
2001-04-01,ZAR,South Africa,9.7,8.13,11.931.119.311.193.100
2002-04-01,ARS,Argentina,2.5,3.13,7.987.220.447.284.350
2002-04-01,AUD,Australia,3.0,1.86,161.290.322.580.645
2002-04-01,BRL,Brazil,3.6,2.34,153.846.153.846.154
2002-04-01,CAD,Canada,3.33,1.57,212.101.910.828.025
2002-04-01,CHF,Switzerland,6.3,1.66,379.518.072.289.157
2002-04-01,CLP,Chile,1400.0,655.0,213.740.458.015.267
2002-04-01,CNY,China,10.5,8.28,126.811.594.202.899
2002-04-01,CZK,Czech Republic,56.28,34.0,16.552.941.176.470.600
2002-04-01,DKK,Denmark,24.75,8.38,29.534.606.205.250.600
2002-04-01,EUR,Euro area,2.67,1.123.595.506,237.629.999.919.206
2002-04-01,GBP,Britain,1.99,689.655.172,28.855.000.017.313
2002-04-01,HKD,Hong Kong,11.2,8.0,1.4
2002-04-01,HUF,Hungary,459.0,272.0,1.6875
2002-04-01,IDR,Indonesia,16000.0,9430.0,169.671.261.930.011
2002-04-01,ILS,Israel,12.0,4.79,250.521.920.668.058
2002-04-01,JPY,Japan,262.0,130.0,201.538.461.538.462
2002-04-01,KRW,South Korea,3100.0,1304.0,237.730.061.349.693
2002-04-01,MXN,Mexico,21.9,9.28,235.991.379.310.345
2002-04-01,MYR,Malaysia,05.04,3.8,132.631.578.947.368
2002-04-01,NOK,Norway,35.0,8.56,4.088.785.046.728.970
2002-04-01,NZD,New Zealand,3.6,2.24,160.714.285.714.286
2002-04-01,PEN,Peru,8.5,3.43,247.813.411.078.717
2002-04-01,PHP,Philippines,65.0,51.0,127.450.980.392.157
2002-04-01,PLN,Poland,5.9,04.04,146.039.603.960.396
2002-04-01,RUB,Russia,39.0,31.2,1.25
2002-04-01,SGD,Singapore,3.3,1.82,181.318.681.318.681
2002-04-01,SEK,Sweden,26.0,10.4,2.5
2002-04-01,THB,Thailand,55.0,43.3,12.702.078.521.940.000
2002-04-01,TRY,Turkey,4000000.0,1324500.0,302.000.755.001.888
2002-04-01,TWD,Taiwan,70.0,34.8,201.149.425.287.356
2002-04-01,USD,United States,2.49,1.0,2.49
2002-04-01,ZAR,South Africa,9.7,10.9,8.899.082.568.807.330
2003-04-01,ARS,Argentina,4.1,2.88,142.361.111.111.111
2003-04-01,AUD,Australia,3.0,1.61,186.335.403.726.708
2003-04-01,BRL,Brazil,4.55,03.07,14.820.846.905.537.500
2003-04-01,CAD,Canada,3.2,1.45,220.689.655.172.414
2003-04-01,CHF,Switzerland,6.3,1.37,45.985.401.459.854.000
2003-04-01,CLP,Chile,1400.0,716.0,19.553.072.625.698.300
2003-04-01,CNY,China,9.9,8.28,119.565.217.391.304
2003-04-01,CZK,Czech Republic,56.57,28.9,19.574.394.463.667.800
2003-04-01,DKK,Denmark,27.75,6.78,40.929.203.539.823
2003-04-01,EGP,Egypt,8.0,5.92,135.135.135.135.135
2003-04-01,EUR,Euro area,2.71,9.090.909.090.000.000,29.810.000.002.981
2003-04-01,GBP,Britain,1.99,632.911.392,31.442.000.020.122.800
2003-04-01,HKD,Hong Kong,11.5,7.8,147.435.897.435.897
2003-04-01,HUF,Hungary,490.0,224.0,2.1875
2003-04-01,IDR,Indonesia,16100.0,8740.0,18.421.052.631.578.800
2003-04-01,JPY,Japan,262.0,120.0,218.333.333.333.333
2003-04-01,KRW,South Korea,3300.0,1220.0,27.049.180.327.868.900
2003-04-01,MXN,Mexico,23.0,10.53,218.423.551.756.885
2003-04-01,MYR,Malaysia,05.04,3.8,132.631.578.947.368
2003-04-01,NZD,New Zealand,3.95,1.78,221.910.112.359.551
2003-04-01,PEN,Peru,7.9,3.46,228.323.699.421.965
2003-04-01,PHP,Philippines,65.0,52.5,123.809.523.809.524
2003-04-01,PLN,Poland,6.3,3.89,16.195.372.750.642.600
2003-04-01,RUB,Russia,41.0,31.1,131.832.797.427.653
2003-04-01,SGD,Singapore,3.3,1.78,185.393.258.426.966
2003-04-01,SEK,Sweden,30.0,8.34,35.971.223.021.582.600
2003-04-01,THB,Thailand,59.0,42.7,138.173.302.107.728
2003-04-01,TRY,Turkey,3750000.0,1600500.0,23.430.178.069.353.300
2003-04-01,TWD,Taiwan,70.0,34.8,201.149.425.287.356
2003-04-01,USD,United States,2.71,1.0,2.71
2003-04-01,ZAR,South Africa,13.95,7.56,18.452.380.952.381
2004-05-01,ARS,Argentina,4.36,2.95,14.779.661.016.949.200
2004-05-01,AUD,Australia,3.25,1.43,22.727.272.727.272.700
2004-05-01,BRL,Brazil,5.4,3.18,16.981.132.075.471.600
2004-05-01,CAD,Canada,3.19,1.37,23.284.671.532.846.600
2004-05-01,CHF,Switzerland,6.3,1.29,488.372.093.023.256
2004-05-01,CLP,Chile,1400.0,641.0,218.408.736.349.454
2004-05-01,CNY,China,10.4,8.28,1.256.038.647.343
2004-05-01,COP,Colombia,6500.0,2769.83,23.467.144.192.964.900
2004-05-01,CRC,Costa Rica,1130.0,433.55,260.638.911.313.574
2004-05-01,CZK,Czech Republic,56.42,26.5,212.905.660.377.359
2004-05-01,DKK,Denmark,27.75,6.22,446.141.479.099.679
2004-05-01,EGP,Egypt,10.0,6.19,16.155.088.852.988.700
2004-05-01,EUR,Euro area,2.74,833.333.333,32.880.000.013.152
2004-05-01,GBP,Britain,1.88,558.659.218,33.651.999.992.596.600
2004-05-01,HKD,Hong Kong,12.0,7.79,154.043.645.699.615
2004-05-01,HUF,Hungary,530.0,211.0,251.184.834.123.223
2004-05-01,IDR,Indonesia,16100.0,9120.0,176.535.087.719.298
2004-05-01,JPY,Japan,262.0,113.0,231.858.407.079.646
2004-05-01,KRW,South Korea,3200.0,1177.0,271.877.655.055.225
2004-05-01,LKR,Sri Lanka,140.0,99.0,141.414.141.414.141
2004-05-01,MXN,Mexico,24.0,11.6,206.896.551.724.138
2004-05-01,MYR,Malaysia,05.04,3.8,132.631.578.947.368
2004-05-01,NOK,Norway,35.5,6.8491,5.183.162.751.310.380
2004-05-01,NZD,New Zealand,4.35,1.64,26.524.390.243.902.400
2004-05-01,PKR,Pakistan,110.0,57.76,190.443.213.296.399
2004-05-01,PEN,Peru,8.99,3.49,257.593.123.209.169
2004-05-01,PHP,Philippines,69.0,55.9,123.434.704.830.054
2004-05-01,PLN,Poland,6.3,3.87,16.279.069.767.441.800
2004-05-01,RUB,Russia,42.0,29.0,144.827.586.206.897
2004-05-01,SAR,Saudi Arabia,2.4,3.7502,639.965.868.487.014
2004-05-01,SGD,Singapore,3.3,1.71,19.298.245.614.035.000
2004-05-01,SEK,Sweden,30.0,7.61,39.421.813.403.416.600
2004-05-01,THB,Thailand,59.0,40.8,144.607.843.137.255
2004-05-01,TRY,Turkey,3950000.0,1531000.0,258.001.306.335.728
2004-05-01,TWD,Taiwan,75.0,33.4,224.550.898.203.593
2004-05-01,UAH,Ukraine,7.25,5.3315,13.598.424.458.407.500
2004-05-01,UYU,Uruguay,29.8,29.735,100.218.597.612.241
2004-05-01,USD,United States,2.9,1.0,2.9
2004-05-01,ZAR,South Africa,12.4,6.66,186.186.186.186.186
2005-06-01,AED,UAE,9.0,3.6725,245.064.669.843.431
2005-06-01,ARS,Argentina,4.75,2.897,16.396.272.005.522.900
2005-06-01,AUD,Australia,3.25,1.3015,24.971.187.091.817.000
2005-06-01,BRL,Brazil,5.9,2.4648,239.370.334.307.043
2005-06-01,CAD,Canada,3.28,1.2494,26.252.601.248.599.300
2005-06-01,CHF,Switzerland,6.3,1.2475,50.501.002.004.007.900
2005-06-01,CLP,Chile,1500.0,592.45,253.185.922.862.689
2005-06-01,CNY,China,10.5,8.2764,126.866.753.661.012
2005-06-01,COP,Colombia,6500.0,2327.7,27.924.560.725.179.300
2005-06-01,CRC,Costa Rica,1130.0,475.3,23.774.458.236.902.900
2005-06-01,CZK,Czech Republic,56.42,245.409,22.990.191.883.753.100
2005-06-01,DKK,Denmark,27.75,6.0647,457.565.914.224.941
2005-06-01,EGP,Egypt,9.0,5.8,155.172.413.793.103
2005-06-01,EUR,Euro area,2.92,814.929.509,358.313.199.823.029
2005-06-01,GBP,Britain,1.88,546.448.087,344.040.000.271.792
2005-06-01,HKD,Hong Kong,12.0,7.7807,154.227.768.709.756
2005-06-01,HUF,Hungary,530.0,203.643,26.025.937.547.571
2005-06-01,IDR,Indonesia,14600.0,9545.0,15.295.966.474.594
2005-06-01,JPY,Japan,250.0,106.715,234.268.846.928.735
2005-06-01,KRW,South Korea,2500.0,1005.5,248.632.521.133.764
2005-06-01,LKR,Sri Lanka,175.0,99.945,17.509.630.296.663.200
2005-06-01,MXN,Mexico,28.0,10.8675,25.764.895.330.112.700
2005-06-01,MYR,Malaysia,5.25,3.8,13.815.789.473.684.200
2005-06-01,NOK,Norway,39.0,6.4326,606.286.726.984.423
2005-06-01,NZD,New Zealand,4.45,1.4023,31.733.580.546.245.400
2005-06-01,PKR,Pakistan,130.0,59.62,218.047.635.021.805
2005-06-01,PEN,Peru,8.99,3.2546,276.224.420.819.763
2005-06-01,PHP,Philippines,80.0,54.55,14.665.444.546.287.700
2005-06-01,PLN,Poland,6.5,3.3096,196.398.356.296.833
2005-06-01,RUB,Russia,42.0,284.055,147.858.689.338.332
2005-06-01,SAR,Saudi Arabia,9.0,3.7501,239.993.600.170.662
2005-06-01,SGD,Singapore,3.6,1.6607,216.776.058.288.673
2005-06-01,SEK,Sweden,31.0,7.4402,416.655.466.250.907
2005-06-01,THB,Thailand,60.0,40.53,14.803.849.000.740.200
2005-06-01,TRY,Turkey,4.0,1.369,29.218.407.596.786
2005-06-01,TWD,Taiwan,75.0,31.175,24.057.738.572.574.100
2005-06-01,UAH,Ukraine,7.25,05.06,14.328.063.241.106.600
2005-06-01,UYU,Uruguay,44.0,24.125,18.238.341.968.911.800
2005-06-01,USD,United States,03.06,1.0,03.06
2005-06-01,ZAR,South Africa,13.95,6.6482,20.983.123.251.406.300
2006-01-01,ARS,Argentina,4.75,3.0638,15.503.622.951.889.800
2006-01-01,AUD,Australia,3.25,1.3308,24.421.400.661.256.400
2006-01-01,BRL,Brazil,6.2,2.2615,274.154.322.352.421
2006-01-01,CAD,Canada,3.52,1.1704,300.751.879.699.248
2006-01-01,CHF,Switzerland,6.3,1.2776,4.931.120.851.596.740
2006-01-01,CLP,Chile,1560.0,522.75,29.842.180.774.748.900
2006-01-01,CNY,China,10.5,8.0641,130.206.718.666.683
2006-01-01,CZK,Czech Republic,62.0,238.375,260.094.389.092.816
2006-01-01,DKK,Denmark,27.75,6.1769,4.492.544.804.027.910
2006-01-01,EGP,Egypt,9.25,5.74,161.149.825.783.972
2006-01-01,EUR,Euro area,2.91,82.815.735,35.138.249.995.607.600
2006-01-01,GBP,Britain,1.88,566.925.563,33.161.319.980.909
2006-01-01,HKD,Hong Kong,12.0,7.7512,154.814.738.363.092
2006-01-01,HUF,Hungary,560.0,206.956,27.058.891.745.105.200
2006-01-01,IDR,Indonesia,14600.0,9460.0,154.334.038.054.968
2006-01-01,JPY,Japan,250.0,114.305,218.713.092.165.697
2006-01-01,KRW,South Korea,2500.0,977.45,255.767.558.442.887
2006-01-01,MXN,Mexico,28.0,10.5425,265.591.652.833.768
2006-01-01,MYR,Malaysia,5.5,3.7488,146.713.615.023.474
2006-01-01,NZD,New Zealand,4.45,1.4467,307.596.599.156.701
2006-01-01,PEN,Peru,9.5,3.446,275.681.950.087.057
2006-01-01,PHP,Philippines,82.0,52.58,15.595.283.377.710.100
2006-01-01,PLN,Poland,6.5,3.1151,208.661.038.168.919
2006-01-01,RUB,Russia,46.0,28.67,16.044.645.971.398.700
2006-01-01,SGD,Singapore,3.6,1.6353,22.014.309.301.045.600
2006-01-01,SEK,Sweden,33.0,7.7119,427.910.112.942.336
2006-01-01,THB,Thailand,60.0,39.755,150.924.412.023.645
2006-01-01,TRY,Turkey,4.1,1.3365,306.771.417.882.529
2006-01-01,TWD,Taiwan,75.0,319.495,234.745.457.675.394
2006-01-01,USD,United States,3.15,1.0,3.15
2006-01-01,ZAR,South Africa,13.95,6.0803,22.942.946.894.067.600
2006-05-01,AED,UAE,9.0,3.6726,245.057.997.059.304
2006-05-01,ARS,Argentina,7.0,3.0565,229.020.121.053.493
2006-05-01,AUD,Australia,3.25,133.253,24.389.694.791.111.600
2006-05-01,BRL,Brazil,6.4,2.3045,277.717.509.221.089
2006-05-01,CAD,Canada,3.52,112.045,31.415.948.949.083
2006-05-01,CHF,Switzerland,6.3,120.885,5.211.564.710.261.820
2006-05-01,CLP,Chile,1560.0,529.95,29.436.739.315.029.700
2006-05-01,CNY,China,10.5,8.026,130.824.819.337.154
2006-05-01,COP,Colombia,6500.0,2503.6,259.626.138.360.761
2006-05-01,CRC,Costa Rica,1130.0,509.535,22.177.083.026.681.200
2006-05-01,CZK,Czech Republic,59.05,221.078,267.100.299.441.826
2006-05-01,DKK,Denmark,27.75,581.825,476.947.535.771.065
2006-05-01,EGP,Egypt,9.5,577.075,16.462.331.586.015.700
2006-05-01,EUR,Euro area,29.395.735.289.999.900,780.365.992,37.669.164.970.479.600
2006-05-01,GBP,Britain,1.94,531.801.744,364.797.600.212.458
2006-05-01,HKD,Hong Kong,12.0,7.7533,154.772.806.417.912
2006-05-01,HUF,Hungary,560.0,2.063.444,271.390.936.705.818
2006-05-01,IDR,Indonesia,14600.0,9325.0,15.656.836.461.126
2006-05-01,JPY,Japan,250.0,112.105,223.005.218.322.109
2006-05-01,KRW,South Korea,2500.0,952.4,262.494.750.104.998
2006-05-01,LKR,Sri Lanka,190.0,102.955,184.546.646.593.172
2006-05-01,MXN,Mexico,29.0,11.3031,256.566.782.564.075
2006-05-01,MYR,Malaysia,5.5,3.6295,15.153.602.424.576.300
2006-05-01,NOK,Norway,43.0,6.1023,704.652.344.198.089
2006-05-01,NZD,New Zealand,4.45,162.101,274.520.206.537.899
2006-05-01,PKR,Pakistan,130.0,60.055,216.468.237.449.005
2006-05-01,PEN,Peru,9.5,3.261,291.321.680.466.115
2006-05-01,PHP,Philippines,85.0,52.625,16.152.019.002.375.300
2006-05-01,PLN,Poland,6.5,309.915,209.734.927.318.781
2006-05-01,RUB,Russia,48.0,2.706.375,177.359.013.440.488
2006-05-01,SAR,Saudi Arabia,9.0,37.489.999.999.999.900,240.064.017.071.219
2006-05-01,SGD,Singapore,3.6,1.5873,22.680.022.680.022.700
2006-05-01,SEK,Sweden,33.0,728.455,453.013.569.815.569
2006-05-01,THB,Thailand,60.0,38.445,15.606.710.885.680.800
2006-05-01,TRY,Turkey,4.2,1.5415,27.246.188.777.165.000
2006-05-01,TWD,Taiwan,75.0,32.141,23.334.681.559.379
2006-05-01,UAH,Ukraine,8.5,05.05,168.316.831.683.168
2006-05-01,UYU,Uruguay,42.28,23.925,176.718.913.270.637
2006-05-01,USD,United States,3.1,1.0,3.1
2006-05-01,ZAR,South Africa,13.95,6.597,211.459.754.433.834
2007-01-01,AED,UAE,10.0,3.6726,272.286.663.399.227
2007-01-01,ARS,Argentina,8.25,308.875,267.098.340.752.732
2007-01-01,AUD,Australia,3.45,1.266.865,272.325.780.568.569
2007-01-01,BRL,Brazil,6.4,2.1335,29.997.656.433.091.100
2007-01-01,CAD,Canada,3.63,117.485,30.897.561.390.815.800
2007-01-01,CHF,Switzerland,6.3,1.2485,504.605.526.631.958
2007-01-01,CLP,Chile,1670.0,540.15,309.173.377.765.436
2007-01-01,CNY,China,11.0,7.7743,141.491.838.493.498
2007-01-01,COP,Colombia,6900.0,2.239.325,30.812.856.552.755.800
2007-01-01,CRC,Costa Rica,1130.0,509.535,22.177.083.026.681.200
2007-01-01,CZK,Czech Republic,52.1,2.150.115,242.312.620.487.741
2007-01-01,DKK,Denmark,27.75,575.305,48.235.283.892.891.600
2007-01-01,EGP,Egypt,09.09,5.7,159.473.684.210.526
2007-01-01,EUR,Euro area,2.94,771.813.376,380.921.099.765.962
2007-01-01,GBP,Britain,1.94,506.034.461,383.373.099.959.688
2007-01-01,HKD,Hong Kong,12.0,779.845,153.876.731.914.675
2007-01-01,HUF,Hungary,590.0,1.944.237,303.460.946.376.393
2007-01-01,IDR,Indonesia,15900.0,9090.0,17.491.749.174.917.500
2007-01-01,JPY,Japan,280.0,121.585,23.029.156.557.141.000
2007-01-01,KRW,South Korea,2900.0,940.15,30.846.141.573.153.100
2007-01-01,LKR,Sri Lanka,190.0,102.955,184.546.646.593.172
2007-01-01,MXN,Mexico,29.0,10.8894,266.314.030.157.768
2007-01-01,MYR,Malaysia,5.5,3.502,157.053.112.507.139
2007-01-01,NOK,Norway,41.5,6.1023,6.800.714.484.702.490
2007-01-01,NZD,New Zealand,4.6,14.279.600.000.000.000,32.213.787.501.050.400
2007-01-01,PKR,Pakistan,140.0,60.055,233.119.640.329.698
2007-01-01,PEN,Peru,9.5,3.1895,29.785.232.795.109
2007-01-01,PHP,Philippines,85.0,49.05,17.329.255.861.366
2007-01-01,PLN,Poland,6.9,297.175,232.186.422.141.836
2007-01-01,RUB,Russia,49.0,265.335,184.672.206.832.872
2007-01-01,SAR,Saudi Arabia,9.0,37.489.999.999.999.900,240.064.017.071.219
2007-01-01,SGD,Singapore,3.6,153.795,234.077.830.878.767
2007-01-01,SEK,Sweden,32.0,704.125,45.446.476.122.847.400
2007-01-01,THB,Thailand,62.0,35.3,175.637.393.767.705
2007-01-01,TRY,Turkey,4.55,140.975,322.752.261.039.191
2007-01-01,TWD,Taiwan,75.0,329.255,227.786.973.622.268
2007-01-01,UAH,Ukraine,9.0,05.05,17.821.782.178.217.800
2007-01-01,UYU,Uruguay,55.0,23.925,229.885.057.471.264
2007-01-01,USD,United States,3.22,1.0,3.22
2007-01-01,ZAR,South Africa,15.5,710.975,21.801.047.856.816.200
2007-06-01,AED,UAE,10.0,367.285,27.226.812.965.408.300
2007-06-01,ARS,Argentina,8.25,3.0915,266.860.747.210.092
2007-06-01,AUD,Australia,3.45,1.17,294.871.794.871.795
2007-06-01,BRL,Brazil,6.9,1.913,360.690.015.682.175
2007-06-01,CAD,Canada,3.88,105.345,36.831.363.614.789.500
2007-06-01,CHF,Switzerland,6.3,1.2112,52.014.531.043.593.000
2007-06-01,CLP,Chile,1565.0,526.75,29.710.488.846.701.400
2007-06-01,CNY,China,11.0,7.6047,14.464.738.911.462.500
2007-06-01,COP,Colombia,6900.0,1956.0,352.760.736.196.319
2007-06-01,CRC,Costa Rica,1130.0,518.625,217.883.827.428.296
2007-06-01,CZK,Czech Republic,52.9,2.111.675,25.051.203.428.557.800
2007-06-01,DKK,Denmark,27.75,5.4603,50.821.383.440.470.300
2007-06-01,EGP,Egypt,9.54,569.025,167.655.199.683.669
2007-06-01,EUR,Euro area,3.057.482.443,7.337.564.659.999.990,41.668.899.487.422
2007-06-01,GBP,Britain,1.99,49.661.063.200.000.000,40.071.635.034.990.600
2007-06-01,HKD,Hong Kong,12.0,781.555,15.354.005.796.137.100
2007-06-01,HUF,Hungary,600.0,1.802.106,33.294.378.910.008.500
2007-06-01,IDR,Indonesia,15900.0,9015.0,176.372.712.146.423
2007-06-01,JPY,Japan,280.0,122.315,22.891.714.017.087
2007-06-01,KRW,South Korea,2900.0,922.5,314.363.143.631.436
2007-06-01,LKR,Sri Lanka,210.0,111.4,18.850.987.432.675.000
2007-06-01,MXN,Mexico,29.0,1.076.755,26.932.774.865.219.900
2007-06-01,MYR,Malaysia,5.5,3.4345,16.013.975.833.454.600
2007-06-01,NOK,Norway,40.0,5.8139,688.006.329.658.233
2007-06-01,NZD,New Zealand,4.6,1.2797,359.459.248.261.311
2007-06-01,PKR,Pakistan,140.0,60.37,231.903.263.210.204
2007-06-01,PEN,Peru,9.5,3.167,299.968.424.376.381
2007-06-01,PHP,Philippines,85.0,458.975,185.195.272.073.642
2007-06-01,PLN,Poland,6.9,275.185,250.740.410.996.239
2007-06-01,RUB,Russia,52.0,2.564.825,20.274.287.719.435.000
2007-06-01,SAR,Saudi Arabia,9.0,375.045,23.997.120.345.558.500
