Wine_No;Wine;BRANCO_91;TINTO_91;BRANCO_92;TINTO_92;BRANCO_93;TINTO_93;BRANCO_94;TINTO_94;BRANCO_95;TINTO_95;BRANCO_96;TINTO_96;BRANCO_97;TINTO_97;BRANCO_98;TINTO_98
1; AMARANTE                  ;9384586;5589997;6274141;3158556;4638903;1737103;10220935;3515503;7361699;3341817;9767795;3967293;2993953;1200506;3561823;1471991
2; AMARES                    ;692627;1108743;603590;639570;1318499;310459;1656282;743314;1114088;562730;1446000;957130;631020;266060;1556420;377580
3; ARCOS DE VALDEVEZ         ;123910;4358522;90005;1893070;51568;1144503;120422;2358884;98709;1704120;146925;2619910;24141;483297;28505;585668
4; AROUCA                    ;326880;742570;186530;353610;119829;173189;210515;435335;268615;380450;294985;399668;91010;105630;83235;91230
5; BAIAO                     ;5185397;1975692;4430023;1190585;3848321;804593;6568629;872162;5324270;819944;5701031;1187165;2170606;385318;3828730;387407
6; BARCELOS                  ;5328897;7465708;3508312;4519042;2514751;2889694;3602329;4523874;4008258;3376601;5546566;4196016;1789848;1583897;1633553;1086480
7; BRAGA                     ;851314;2743938;618835;1429194;658323;604250;994854;1149260;911269;1069294;1473480;1500315;331701;463648;656065;359470
8; CABECEIRAS DE BASTO       ;390890;1783830;290960;886020;337121;1175081;601120;1888412;430635;1451108;722026;1790233;250360;664275;419305;1117293
9; CAMINHA                   ;140145;437415;76661;243628;29825;63320;70625;166005;48000;98465;61800;120720;14485;38310;4600;9670
10; CASTELO DE PAIVA          ;859805;1466161;580070;1034790;242027;345435;573712;898072;734900;889913;959711;1007340;304945;310545;385475;381152
11; CELORICO DE BASTO         ;4006845;3279995;2385220;1695224;2423236;1693755;3881516;2581446;2858555;1776850;3685310;2650421;1518930;729460;1775350;965840
12; CINFAES                   ;855855;1191124;614735;663115;396773;335479;665067;627317;817701;668221;753373;797086;248832;255783;283320;241403
13; ESPOSENDE                 ;204330;409045;134990;181540;69540;96420;83450;142650;80410;101200;124970;100350;42120;44450;37900;13070
14; FAFE                      ;375704;2623324;244303;993664;191526;577393;197865;1004152;195802;599100;364749;1537934;119113;384768;146985;402354
15; FELGUEIRAS                ;11834292;4798930;6887279;2479075;6295544;1654631;11455943;2813656;9060846;2070535;13256088;3502845;3222880;938073;4456554;1275913
16; GONDOMAR                  ;2458790;319425;1663705;199302;1121679;70134;1581070;124270;1644655;131980;1698820;116190;863049;57260;669630;30390
17; GUIMARAES                 ;1855034;6939766;1226739;3019638;992646;1685301;1278221;2595516;1651290;2236097;2308936;3239534;842174;1042913;938115;934453
18; LOUSADA                   ;4311581;3440825;2715767;2170150;1708680;993956;3277449;2059457;2638792;1371948;4742602;2592381;926621;459528;1471273;722550
19; MAIA                      ;379731;408890;256040;233095;174541;77968;228445;127505;228210;114265;234575;124500;120384;67380;66965;25520
20; MARCO DE CANAVESES        ;2445006;3720340;1462320;1993195;1602790;1237080;2570180;2245975;3417826;2305880;3268695;2509305;1047272;758939;1463970;952940
21; MATOSINHOS                ;49405;68800;25545;41975;7790;9600;17450;12180;11370;16600;21750;14350;12780;8530;2820;1170
22; MELGACO                   ;309505;1501445;209516;647610;121573;316387;408133;976245;610365;1036014;656025;1137805;290278;255026;336900;282880
23; MONCAO                    ;1660415;3708830;1108533;1871542;749731;660475;1709126;1933647;1346268;1354082;2926715;3675317;1303260;912827;1249712;935611
24; MONDIM DE BASTO           ;572240;2500860;478820;1158570;400904;1176529;767080;1996610;467220;1374510;816300;2243120;306200;715100;448040;1099625
25; PACOS DE FERREIRA         ;847890;968690;493580;543110;371543;278828;598250;436325;617015;323815;677075;489755;102675;101540;98320;61035
26; PAREDES                   ;2941926;2165936;1729005;1435240;1503350;734737;2090036;1175553;1985875;1126313;3044301;1554917;640651;382345;920497;361197
27; PAREDES DE COURA          ;35510;265147;8628;100152;2376;22910;12480;77070;2635;33070;12260;79825;1250;5504;390;2576
28; PENAFIEL                  ;12659850;4912340;7591346;2772157;6471673;1932899;10011750;3565676;11811431;2947135;13927368;3187366;3520658;936105;5467613;1270693
29; PONTE DA BARCA            ;836740;3680550;610975;1683030;584661;1237672;914670;2175180;701130;1537370;1882486;3206893;265390;536390;489934;628130
30; PONTE DE LIMA             ;2891805;5094490;2318112;4102207;1725347;2563445;2603950;4683470;2521090;3100975;5237556;5764570;755370;1405073;1114550;1268058
31; POVOA DE LANHOSO          ;655965;1932360;423249;919332;1135894;447921;1287565;1128597;521960;411399;1070690;1238592;124082;240779;372851;170594
32; POVOA DE VARZIM           ;419510;570130;330285;381345;229230;210900;299350;287190;290290;213940;379550;234900;169800;109265;124120;66200
33; RESENDE                   ;605635;1817210;379485;1064953;508751;719558;726975;870642;701339;937080;881965;1126539;418445;509260;258276;434587
34; RIBEIRA DE PENA           ;63650;1087340;44320;567050;65331;663360;108760;1200060;77200;680950;148910;1176070;79000;389480;109750;515660
35; SANTO TIRSO               ;2258510;2582415;1696200;1596872;1251814;855178;1644920;1323345;1890190;1197665;2380128;1390678;863243;619801;821206;412339
36; TERRAS DE BOURO           ;16500;892380;8555;428190;2650;38760;6930;107170;7155;117250;11400;219800;1400;37500;1500;16550
37; VALE DE CAMBRA            ;2549190;3310310;1771540;1534660;780905;885603;1308495;1925660;2143415;1706920;1971870;1909460;617651;477200;273250;186180
38; VALENCA                   ;165890;855960;129410;476240;56180;149982;128360;403565;105000;267595;129020;403190;43095;116700;41060;92625
39; VALONGO                   ;898865;281980;642835;171405;579889;77005;834125;112905;755530;94610;1071350;148875;535960;60900;801650;40900
40; VIANA DO CASTELO          ;850474;3830794;491150;2083895;322490;1064536;492070;1778270;467805;1173905;779263;1690613;191550;595055;126465;216730
41; VIEIRA DO MINHO           ;12200;148350;6230;49800;5950;18550;18320;45100;1000;19300;20500;74450;950;2030;3450;3000
42; VILA DO CONDE             ;461635;810110;301545;467620;172807;183249;203770;250270;221152;210645;235775;248525;114115;106305;45635;51563
43; VILA NOVA DE CERVEIRA     ;89745;504255;50200;284535;16614;76051;30448;106610;23875;76970;28720;82405;5020;16900;2590;9600
44; VILA NOVA DE FAMALICAO    ;3245265;4005815;2517975;2319570;2072898;1338140;3013077;1853360;3536931;1747755;4627977;1955100;1361144;725646;1662074;623900
45; VILA VERDE                ;670710;2655850;532415;1376028;487069;510222;602640;1148775;410394;801412;1283656;1594043;265260;371097;408815;301214
;;;;;;;;;;;;;;;;;
;;;;;;;;;;74.122.165;47.577.798;100.781.047;69.763.494;29.542.671;19.876.398;38.649.241;20.484.991
